id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
16501,2026-05-26 09:15:00,23700.0,23970.9,874770,1563575,378.5,87.15,9945,124085,0.761371,-0.276031,0.0007167,0.00064324,12.794259,15.377219,2026-06-02
15751,2026-05-26 09:15:00,23750.0,23970.9,124930,254800,341.45,100.85,8385,47840,0.723408,-0.308672,0.00077267,0.00068064,12.814102,15.307908,2026-06-02
11251,2026-05-26 09:15:00,23800.0,23970.9,813735,1431300,308.05,118.55,74750,191425,0.681123,-0.344893,0.0008142,0.00070641,12.97678,15.43084,2026-06-02
6751,2026-05-26 09:15:00,23850.0,23970.9,84435,203320,275.15,134.9,10855,50700,0.63887,-0.380189,0.00085221,0.0007362,13.003531,15.305466,2026-06-02
2251,2026-05-26 09:15:00,23900.0,23970.9,1104740,1242085,246.7,154.7,127660,213525,0.593973,-0.417666,0.00086887,0.00075449,13.207119,15.310925,2026-06-02
1,2026-05-26 09:15:00,23950.0,23970.9,231595,422175,220.2,179.35,67860,101010,0.549391,-0.456302,0.00087512,0.00075518,13.385258,15.537186,2026-06-02
4501,2026-05-26 09:15:00,24000.0,23970.9,2036125,2264600,193.0,202.7,649025,652210,0.505425,-0.494197,0.00088418,0.00076016,13.34926,15.526972,2026-06-02
9001,2026-05-26 09:15:00,24050.0,23970.9,478465,394810,170.45,229.25,138385,107575,0.46187,-0.53186,0.0008707,0.00075357,13.495336,15.61458,2026-06-02
13501,2026-05-26 09:15:00,24100.0,23970.9,1004640,606645,148.8,255.05,234975,189345,0.4192,-0.569691,0.00085311,0.00074935,13.551926,15.511676,2026-06-02
16126,2026-05-26 09:15:00,24150.0,23970.9,244985,106405,127.0,286.05,64480,23075,0.376323,-0.605501,0.00083569,0.00072734,13.440863,15.658471,2026-06-02
16876,2026-05-26 09:15:00,24200.0,23970.9,1501175,346385,109.9,317.8,306800,60255,0.336751,-0.640387,0.0007983,0.00070336,13.530795,15.732463,2026-06-02
16502,2026-05-26 09:16:00,23750.0,23984.55,122850,260975,350.8,97.5,4940,31525,0.734891,-0.300098,0.00076002,0.00066929,12.747962,15.365644,2026-06-02
15752,2026-05-26 09:16:00,23800.0,23984.55,807690,1411085,316.7,113.3,53430,150475,0.693127,-0.334726,0.000805,0.00070071,12.903187,15.37091,2026-06-02
11252,2026-05-26 09:16:00,23850.0,23984.55,88790,205465,283.9,131.35,15080,33215,0.65062,-0.371022,0.00084297,0.00072495,12.986216,15.416332,2026-06-02
6752,2026-05-26 09:16:00,23900.0,23984.55,1104805,1234740,252.65,150.0,82485,137670,0.607153,-0.407711,0.00087313,0.00074701,13.022112,15.369247,2026-06-02
2252,2026-05-26 09:16:00,23950.0,23984.55,255320,444275,226.0,173.15,76635,92625,0.5619,-0.445967,0.00088044,0.00075313,13.23863,15.521676,2026-06-02
2,2026-05-26 09:16:00,24000.0,23984.55,2244385,2372955,200.0,196.3,365885,347750,0.517494,-0.483832,0.00088386,0.00075888,13.335657,15.534092,2026-06-02
4502,2026-05-26 09:16:00,24050.0,23984.55,486915,406640,175.75,223.65,73190,52325,0.473524,-0.521373,0.00087848,0.00074958,13.400666,15.717105,2026-06-02
9002,2026-05-26 09:16:00,24100.0,23984.55,1098240,637975,153.35,249.3,137410,65195,0.430259,-0.558888,0.00086415,0.00074607,13.443806,15.64118,2026-06-02
13502,2026-05-26 09:16:00,24150.0,23984.55,237965,111085,132.1,280.15,49075,14560,0.387551,-0.594537,0.00084427,0.00072496,13.415491,15.815014,2026-06-02
16127,2026-05-26 09:16:00,24200.0,23984.55,1605500,348790,115.35,311.5,199940,20540,0.348184,-0.629351,0.00080546,0.00070274,13.573879,15.898372,2026-06-02
16877,2026-05-26 09:16:00,24250.0,23984.55,261235,25415,97.3,344.0,26585,1040,0.307937,-0.663127,0.00077177,0.00067732,13.47939,15.941638,2026-06-02
16503,2026-05-26 09:17:00,23750.0,23990.8,121810,266825,354.35,97.0,2080,18590,0.741259,-0.29721,0.00075649,0.00066139,12.645936,15.477686,2026-06-02
15753,2026-05-26 09:17:00,23800.0,23990.8,820365,1426295,320.45,113.05,22555,86645,0.698907,-0.331758,0.00080152,0.00069162,12.847088,15.514954,2026-06-02
11253,2026-05-26 09:17:00,23850.0,23990.8,89895,210665,287.75,130.7,2990,8970,0.656141,-0.36746,0.0008394,0.00071673,12.961957,15.540743,2026-06-02
6753,2026-05-26 09:17:00,23900.0,23990.8,1109550,1228695,256.55,149.8,47190,90935,0.612594,-0.404004,0.00086944,0.00073692,13.023,15.540938,2026-06-02
2253,2026-05-26 09:17:00,23950.0,23990.8,270400,450580,228.55,171.95,32110,45045,0.567754,-0.441618,0.0008834,0.00074644,13.159545,15.632936,2026-06-02
