id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
20271,2022-03-10 09:15:00,16400.0,16661.8008,2431300,1057250,250.6,14.5,1045100,1563100,,-0.393636,,0.0003142,0.0,52.118102,2022-03-17
15768,2022-03-10 09:15:00,16450.0,16661.8008,777000,159400,207.75,21.7,368800,372100,,-0.409209,,0.00031973,0.0,51.733875,2022-03-17
11265,2022-03-10 09:15:00,16500.0,16661.8008,4092300,781100,169.15,32.25,1921700,1729750,0.614664,-0.425538,0.00056301,0.0003219,28.909087,51.835071,2022-03-17
6761,2022-03-10 09:15:00,16550.0,16661.8008,873250,99600,133.5,46.2,521500,348150,0.575023,-0.441865,0.0004831,0.00032369,34.529451,51.907463,2022-03-17
2256,2022-03-10 09:15:00,16600.0,16661.8008,3080750,256050,102.0,64.8,2090750,1250000,0.548502,-0.458303,0.00045423,0.00032213,37.110468,52.431681,2022-03-17
1,2022-03-10 09:15:00,16650.0,16661.8008,1088600,34200,76.25,87.15,867550,534950,0.525448,-0.474456,0.0004324,0.00032169,39.194769,52.682729,2022-03-17
4506,2022-03-10 09:15:00,16700.0,16661.8008,3958550,214450,55.05,117.2,3161550,1198900,0.504433,-0.489705,0.00041895,0.00030924,40.533364,54.899573,2022-03-17
9013,2022-03-10 09:15:00,16750.0,16661.8008,1322600,19700,37.9,150.0,1160300,285600,0.484204,-0.504083,0.00041189,0.00030059,41.19854,56.494668,2022-03-17
13517,2022-03-10 09:15:00,16800.0,16661.8008,5440200,68850,25.05,188.2,3901600,502700,0.464467,-0.516481,0.00040581,0.00028565,41.682184,59.40247,2022-03-17
18020,2022-03-10 09:15:00,16850.0,16661.8008,1464750,3850,15.65,228.25,1210050,75150,0.444737,-0.528028,0.00040192,0.00027377,41.847992,61.878662,2022-03-17
22522,2022-03-10 09:15:00,16900.0,16661.8008,3841800,59350,10.7,275.1,2398600,77550,0.428955,-0.534523,0.00038311,0.0002488,43.623622,68.000777,2022-03-17
20272,2022-03-10 09:16:00,16400.0,16656.9004,2431300,1057250,248.65,12.7,531000,1170450,,-0.391245,,0.00033028,0.0,49.513306,2022-03-17
15769,2022-03-10 09:16:00,16450.0,16656.9004,777000,159400,205.85,19.75,200550,308250,,-0.407857,,0.00033513,0.0,49.333312,2022-03-17
11266,2022-03-10 09:16:00,16500.0,16656.9004,4092300,781100,166.85,30.3,908150,1700450,0.604687,-0.425163,0.00052322,0.00033624,31.34468,49.632948,2022-03-17
6762,2022-03-10 09:16:00,16550.0,16656.9004,873250,99600,132.4,45.2,263600,308500,0.569863,-0.442605,0.00045853,0.00033378,36.479778,50.368948,2022-03-17
2257,2022-03-10 09:16:00,16600.0,16656.9004,3080750,256050,100.8,64.1,1216050,828150,0.545475,-0.459564,0.00044023,0.00033163,38.338436,50.963646,2022-03-17
2,2022-03-10 09:16:00,16650.0,16656.9004,1088600,34200,74.7,87.35,923300,555950,0.52331,-0.476152,0.0004258,0.00032903,39.829041,51.539073,2022-03-17
4507,2022-03-10 09:16:00,16700.0,16656.9004,3958550,214450,54.25,117.2,2425700,822100,0.502762,-0.491832,0.00041129,0.00031807,41.303792,53.398763,2022-03-17
9014,2022-03-10 09:16:00,16750.0,16656.9004,1322600,19700,37.95,151.2,860350,130500,0.483226,-0.50628,0.00040157,0.00030653,42.267787,55.415368,2022-03-17
13518,2022-03-10 09:16:00,16800.0,16656.9004,5440200,68850,25.2,189.4,2527900,188500,0.463911,-0.519081,0.00039635,0.00029238,42.686534,58.037562,2022-03-17
18021,2022-03-10 09:16:00,16850.0,16656.9004,1464750,3850,16.05,229.9,821900,21150,0.444919,-0.530817,0.00039131,0.00027994,42.999471,60.505235,2022-03-17
22523,2022-03-10 09:16:00,16900.0,16656.9004,3841800,59350,10.65,274.05,1992350,32950,0.428489,-0.539959,0.00037753,0.00026298,44.273719,64.274636,2022-03-17
20273,2022-03-10 09:17:00,16400.0,16650.9004,2025450,1539100,245.75,13.5,292950,953400,,-0.393466,,0.0003299,0.0,49.66805,2022-03-17
15770,2022-03-10 09:17:00,16450.0,16650.9004,594150,331100,203.3,21.6,128750,403450,0.658708,-0.410821,0.00064288,0.00033064,24.315691,50.112165,2022-03-17
11267,2022-03-10 09:17:00,16500.0,16650.9004,3368900,1882700,164.45,32.1,652600,1197200,0.594799,-0.427478,0.0004833,0.00033449,34.1673,49.967644,2022-03-17
6763,2022-03-10 09:17:00,16550.0,16650.9004,684750,311150,129.15,47.1,236200,346650,0.566019,-0.444645,0.00044859,0.00033371,37.3661,50.43678,2022-03-17
2258,2022-03-10 09:17:00,16600.0,16650.9004,3063450,975400,98.9,66.05,891100,792750,0.542217,-0.461517,0.00042784,0.00033322,39.500874,50.76571,2022-03-17
3,2022-03-10 09:17:00,16650.0,16650.9004,1370650,530600,73.0,89.6,601550,406750,0.520792,-0.478171,0.00041738,0.0003313,40.664093,51.222684,2022-03-17
4508,2022-03-10 09:17:00,16700.0,16650.9004,4488200,1070000,52.4,119.6,1796750,646550,0.500512,-0.493977,0.00040756,0.00032139,41.700431,52.874121,2022-03-17
9015,2022-03-10 09:17:00,16750.0,16650.9004,1400000,135350,36.5,154.75,608350,85500,0.481135,-0.508214,0.00039864,0.00030734,42.585862,55.286172,2022-03-17
13519,2022-03-10 09:17:00,16800.0,16650.9004,5583550,299300,24.25,191.8,2012700,162550,0.462053,-0.521919,0.00039301,0.00029834,43.048294,56.879598,2022-03-17
18022,2022-03-10 09:17:00,16850.0,16650.9004,1548250,39850,15.75,234.25,668550,16700,0.443802,-0.532593,0.00038536,0.00028034,43.663734,60.42124,2022-03-17
22524,2022-03-10 09:17:00,16900.0,16650.9004,4147400,117400,10.35,277.85,1774050,23600,0.427295,-0.542433,0.00037332,0.00026596,44.766999,63.539718,2022-03-17
20274,2022-03-10 09:18:00,16400.0,16668.0508,2025450,1539100,263.8,9.9,261500,1228400,,-0.384406,,0.00034089,0.0,47.701185,2022-03-17
15771,2022-03-10 09:18:00,16450.0,16668.0508,594150,331100,219.5,15.8,92350,389400,0.691919,-0.401357,0.00071009,0.00034723,21.087302,47.394182,2022-03-17
11268,2022-03-10 09:18:00,16500.0,16668.0508,3368900,1882700,179.25,24.6,662650,1206900,0.602704,-0.418904,0.00047826,0.00035155,34.318012,47.295703,2022-03-17
6764,2022-03-10 09:18:00,16550.0,16668.0508,684750,311150,140.0,36.55,172100,291800,0.57581,-0.436493,0.00046409,0.00035654,35.922409,47.016211,2022-03-17
2259,2022-03-10 09:18:00,16600.0,16668.0508,3063450,975400,108.6,53.3,966700,744950,0.55004,-0.454565,0.00043416,0.00035714,38.798729,47.231578,2022-03-17
4,2022-03-10 09:18:00,16650.0,16668.0508,1370650,530600,79.5,74.95,668700,441900,0.528133,-0.472516,0.00043108,0.0003556,39.288249,47.63285,2022-03-17
4509,2022-03-10 09:18:00,16700.0,16668.0508,4488200,1070000,58.0,102.9,1650350,533650,0.507171,-0.489845,0.00041549,0.00034685,40.857394,48.935564,2022-03-17
9016,2022-03-10 09:18:00,16750.0,16668.0508,1400000,135350,40.25,136.3,584750,70200,0.487087,-0.505788,0.00040832,0.00033367,41.559882,50.879627,2022-03-17
13520,2022-03-10 09:18:00,16800.0,16668.0508,5583550,299300,27.05,172.85,1647300,133500,0.467712,-0.520765,0.00040082,0.00032293,42.220376,52.505238,2022-03-17
18023,2022-03-10 09:18:00,16850.0,16668.0508,1548250,39850,17.6,213.25,678800,18700,0.448991,-0.53405,0.00039312,0.00030919,42.835982,54.712465,2022-03-17
22525,2022-03-10 09:18:00,16900.0,16668.0508,4147400,117400,11.45,256.55,1623850,32550,0.431752,-0.545443,0.00038177,0.00029355,43.821557,57.463404,2022-03-17
20275,2022-03-10 09:19:00,16450.0,16679.8008,594150,331100,226.15,13.45,71300,539650,,-0.396168,,0.00035096,0.0,46.699539,2022-03-17
15772,2022-03-10 09:19:00,16500.0,16679.8008,3368900,1882700,184.65,21.05,573150,1254050,0.629638,-0.413587,0.00058136,0.00035747,27.631078,46.347125,2022-03-17
11269,2022-03-10 09:19:00,16550.0,16679.8008,684750,311150,144.7,31.15,158100,550350,0.588319,-0.430964,0.00051385,0.00036701,32.207945,45.538076,2022-03-17
6765,2022-03-10 09:19:00,16600.0,16679.8008,3063450,975400,110.4,47.25,897850,887350,0.558905,-0.449832,0.00048018,0.00036466,34.949603,46.161188,2022-03-17
2260,2022-03-10 09:19:00,16650.0,16679.8008,1370650,530600,81.45,67.85,647900,474050,0.534035,-0.468233,0.00046089,0.00036249,36.6803,46.65983,2022-03-17
5,2022-03-10 09:19:00,16700.0,16679.8008,4488200,1070000,59.35,96.1,1910400,629250,0.511472,-0.48582,0.00043836,0.00034774,38.690492,48.762478,2022-03-17
4510,2022-03-10 09:19:00,16750.0,16679.8008,1400000,135350,41.45,128.1,705400,118300,0.490581,-0.502126,0.00042528,0.00033628,39.886332,50.455203,2022-03-17
9017,2022-03-10 09:19:00,16800.0,16679.8008,5583550,299300,28.35,165.6,1768150,164250,0.471034,-0.516359,0.00041172,0.00031863,41.102377,53.206351,2022-03-17
13521,2022-03-10 09:19:00,16850.0,16679.8008,1548250,39850,19.1,206.7,924150,38300,0.452831,-0.528491,0.0003977,0.00029963,42.365178,56.482999,2022-03-17
18024,2022-03-10 09:19:00,16900.0,16679.8008,4147400,117400,12.9,249.45,1433850,49150,0.436278,-0.539509,0.00038206,0.00028402,43.842834,59.447395,2022-03-17
22526,2022-03-10 09:19:00,16950.0,16679.8008,965450,19400,9.2,295.65,547650,9600,0.422579,-0.547214,0.00036164,0.00026317,46.03192,64.021889,2022-03-17
20276,2022-03-10 09:20:00,16450.0,16676.0996,527950,493900,225.9,13.3,84750,358150,,-0.39647,,0.00035578,0.0,46.088125,2022-03-17
15773,2022-03-10 09:20:00,16500.0,16676.0996,3126100,2603050,184.45,20.75,490050,1141350,0.612079,-0.413917,0.0005055,0.00036369,32.241183,45.575025,2022-03-17
11270,2022-03-10 09:20:00,16550.0,16676.0996,587050,707900,145.2,30.55,148200,571150,0.580831,-0.431352,0.00047284,0.00037563,35.154456,44.51218,2022-03-17
6766,2022-03-10 09:20:00,16600.0,16676.0996,3004100,1585150,110.5,46.5,682750,814800,0.55536,-0.450574,0.00045783,0.00037443,36.713382,44.979678,2022-03-17
2261,2022-03-10 09:20:00,16650.0,16676.0996,1595150,916850,81.75,67.0,557400,374200,0.531901,-0.469438,0.00044377,0.00037355,38.122401,45.300846,2022-03-17
6,2022-03-10 09:20:00,16700.0,16676.0996,4911100,1333900,59.15,94.6,1634800,596500,0.510124,-0.487681,0.00042858,0.00036214,39.588071,46.843813,2022-03-17
4511,2022-03-10 09:20:00,16750.0,16676.0996,1462500,174550,41.25,127.0,635000,108700,0.4896,-0.504636,0.00041783,0.00034998,40.605658,48.4913,2022-03-17
9018,2022-03-10 09:20:00,16800.0,16676.0996,5649250,406650,27.85,163.9,1518750,133650,0.469988,-0.520039,0.00040806,0.00033564,41.474332,50.502828,2022-03-17
13522,2022-03-10 09:20:00,16850.0,16676.0996,1574850,52750,19.0,205.85,849500,22400,0.452286,-0.532452,0.00039261,0.00031359,42.918647,53.943271,2022-03-17
